20210506T,"$84,871,718,670","$84,871,718,670","$84,871,718,670","$84,871,718,670",0
20210507T,"$75,249,721,643","$75,249,721,643","$75,249,721,643","$75,249,721,643",0
20210508T,"$88,794,768,977","$88,794,768,977","$88,794,768,977","$88,794,768,977",0
20210509T,"$82,064,020,248","$82,064,020,248","$82,064,020,248","$82,064,020,248",0
20210510T,"$74,368,118,240","$74,368,118,240","$74,368,118,240","$74,368,118,240",0
20210511T,"$58,441,555,673","$58,441,555,673","$58,441,555,673","$58,441,555,673",0
20210512T,"$64,355,971,521","$64,355,971,521","$64,355,971,521","$64,355,971,521",0
20210513T,"$53,796,102,921","$53,796,102,921","$53,796,102,921","$53,796,102,921",0
20210514T,"$63,676,946,506","$63,676,946,506","$63,676,946,506","$63,676,946,506",0
20210515T,"$73,661,316,729","$73,661,316,729","$73,661,316,729","$73,661,316,729",0
20210516T,"$73,827,951,681","$73,827,951,681","$73,827,951,681","$73,827,951,681",0
20210517T,"$76,077,733,395","$76,077,733,395","$76,077,733,395","$76,077,733,395",0
20210518T,"$71,424,495,158","$71,424,495,158","$71,424,495,158","$71,424,495,158",0
20210519T,"$70,160,475,195","$70,160,475,195","$70,160,475,195","$70,160,475,195",0
20210520T,"$48,807,694,564","$48,807,694,564","$48,807,694,564","$48,807,694,564",0
20210521T,"$56,532,789,028","$56,532,789,028","$56,532,789,028","$56,532,789,028",0
20210522T,"$50,123,916,189","$50,123,916,189","$50,123,916,189","$50,123,916,189",0
20210523T,"$48,901,674,934","$48,901,674,934","$48,901,674,934","$48,901,674,934",0
20210524T,"$44,251,813,818","$44,251,813,818","$44,251,813,818","$44,251,813,818",0
20210525T,"$52,510,496,774","$52,510,496,774","$52,510,496,774","$52,510,496,774",0
20210526T,"$49,581,436,177","$49,581,436,177","$49,581,436,177","$49,581,436,177",0
20210527T,"$50,790,534,868","$50,790,534,868","$50,790,534,868","$50,790,534,868",0
20210528T,"$47,811,596,880","$47,811,596,880","$47,811,596,880","$47,811,596,880",0
20210529T,"$44,469,471,604","$44,469,471,604","$44,469,471,604","$44,469,471,604",0
20210530T,"$43,693,334,056","$43,693,334,056","$43,693,334,056","$43,693,334,056",0
20210531T,"$43,122,846,999","$43,122,846,999","$43,122,846,999","$43,122,846,999",0
20210601T,"$47,170,857,723","$47,170,857,723","$47,170,857,723","$47,170,857,723",0
20210602T,"$53,000,440,453","$53,000,440,453","$53,000,440,453","$53,000,440,453",0
20210603T,"$60,244,161,396","$60,244,161,396","$60,244,161,396","$60,244,161,396",0
20210604T,"$56,704,267,797","$56,704,267,797","$56,704,267,797","$56,704,267,797",0
